time,joint_2,joint_3,joint_4,joint_6
7.986,-1.5707999730045756,-1.5707992170228715,-1.5710810546074923,-1.5705391110828462
7.988,-1.5707999729844517,-1.5707992192022497,-1.571080860672381,-1.5705392911044893
7.99,-1.5707999729649358,-1.5707992213755562,-1.5710806668710906,-1.5705394710019118
7.992,-1.5707999729460234,-1.5707992235428079,-1.5710804732035288,-1.5705396507751994
7.994,-1.5707999729277102,-1.570799225704022,-1.5710802796696033,-1.5705398304244378
7.996,-1.570799972909992,-1.5707992278592153,-1.5710800862692218,-1.5705400099497124
7.998,-1.5707999728928643,-1.5707992300084048,-1.5710798930022924,-1.570540189351109
8.0,-1.570799972876323,-1.5707992321516073,-1.5710796998687229,-1.570540368628713
8.002,-1.5707999728603637,-1.5707992342888395,-1.5710795068684211,-1.5705405477826095
8.004,-1.5707999728449822,-1.5707992364201182,-1.5710793140012953,-1.5705407268128844
8.006,-1.5707999728301745,-1.57079923854546,-1.5710791212672535,-1.5705409057196225
8.008000000000001,-1.5707999728159363,-1.5707992406648819,-1.571078928666204,-1.5705410845029093
8.01,-1.5707999728022635,-1.5707992427783999,-1.5710787361980547,-1.57054126316283
8.012,-1.5707999727891517,-1.570799244886031,-1.5710785438627142,-1.5705414416994696
8.014,-1.570799972776597,-1.5707992469877916,-1.5710783516600908,-1.5705416201129134
8.016,-1.5707999727645956,-1.5707992490836982,-1.571078159590093,-1.5705417984032461
8.018,-1.570799972753143,-1.570799251173767,-1.571077967652629,-1.5705419765705528
8.02,-1.5707999727422353,-1.5707992532580144,-1.5710777758476075,-1.5705421546149185
8.022,-1.5707999727318684,-1.570799255336457,-1.5710775841749374,-1.5705423325364278
8.024000000000001,-1.5707999727220385,-1.5707992574091107,-1.571077392634527,-1.5705425103351658
8.026,-1.5707999727127417,-1.570799259475992,-1.571077201226285,-1.570542688011217
8.028,-1.5707999727039739,-1.5707992615371171,-1.5710770099501206,-1.570542865564666
8.03,-1.5707999726957311,-1.5707992635925019,-1.5710768188059423,-1.5705430429955975
8.032,-1.5707999726880095,-1.5707992656421625,-1.5710766277936592,-1.570543220304096
8.034,-1.5707999726808053,-1.570799267686115,-1.5710764369131804,-1.570543397490246
